"row$Identification";"genotype";"latitude";"longitude"
"PlastEdge_2019-712";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-724";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-736";"In-0";"47,5";"11,5"
"PlastEdge_2019-748";"Ra-0";"46";"3,3"
"PlastEdge_2019-758";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-654";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-666";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-678";"Ra-0";"46";"3,3"
"PlastEdge_2019-689";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-701";"An-1";"51,2167";"4,4"
"PlastEdge_2019-713";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-725";"An-1";"51,2167";"4,4"
"PlastEdge_2019-737";"Ag-0";"45";"1,3"
"PlastEdge_2019-749";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-655";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-667";"Ag-0";"45";"1,3"
"PlastEdge_2019-679";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-690";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-702";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-714";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-726";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-738";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-750";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-759";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-656";"San-2";"56,07";"13,74"
"PlastEdge_2019-668";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-680";"Com-1";"49,416";"2,823"
"PlastEdge_2019-691";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-703";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-715";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-727";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-739";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-751";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-760";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-657";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-669";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-681";"Ra-0";"46";"3,3"
"PlastEdge_2019-692";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-704";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-716";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-728";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-740";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-752";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-761";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-658";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-670";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-682";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-693";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-705";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-717";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-729";"San-2";"56,07";"13,74"
"PlastEdge_2019-741";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-753";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-762";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-659";"In-0";"47,5";"11,5"
"PlastEdge_2019-671";"Ag-0";"45";"1,3"
"PlastEdge_2019-683";"Com-1";"49,416";"2,823"
"PlastEdge_2019-694";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-706";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-718";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-730";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-742";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-754";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-763";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-775";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-786";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-798";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-810";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-821";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-833";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-845";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-857";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-869";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-764";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-787";"Com-1";"49,416";"2,823"
"PlastEdge_2019-799";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-811";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-822";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-834";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-846";"Ag-0";"45";"1,3"
"PlastEdge_2019-858";"An-1";"51,2167";"4,4"
"PlastEdge_2019-71";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-870";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-765";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-776";"San-2";"56,07";"13,74"
"PlastEdge_2019-788";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-800";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-812";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-823";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-835";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-847";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-859";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-766";"An-1";"51,2167";"4,4"
"PlastEdge_2019-777";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-789";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-801";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-813";"Ag-0";"45";"1,3"
"PlastEdge_2019-824";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-836";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-848";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-860";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-871";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-767";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-778";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-790";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-802";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-814";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-825";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-837";"San-2";"56,07";"13,74"
"PlastEdge_2019-849";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-861";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-872";"San-2";"56,07";"13,74"
"PlastEdge_2019-768";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-779";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-791";"Ra-0";"46";"3,3"
"PlastEdge_2019-803";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-815";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-826";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-838";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-850";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-862";"Ra-0";"46";"3,3"
"PlastEdge_2019-873";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-769";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-780";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-792";"Ag-0";"45";"1,3"
"PlastEdge_2019-804";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-816";"Com-1";"49,416";"2,823"
"PlastEdge_2019-827";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-839";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-851";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-863";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-874";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-770";"In-0";"47,5";"11,5"
